year,month,subscribe,gender,count
2013,1,0,10,M,0
2013,1,0,10,F,0
2013,1,0,10,NA,0
2013,1,0,20,M,0
2013,1,0,20,F,0
2013,1,0,20,NA,0
2013,1,0,30,M,0
2013,1,0,30,F,0
2013,1,0,30,NA,0
2013,1,0,40,M,0
2013,1,0,40,F,0
2013,1,0,40,NA,0
2013,1,0,50,M,0
2013,1,0,50,F,0
2013,1,0,50,NA,0
2013,1,0,60,M,0
2013,1,0,60,F,0
2013,1,0,60,NA,0
2013,1,0,70,M,0
2013,1,0,70,F,0
2013,1,0,70,NA,0
2013,1,0,>70,M,0
2013,1,0,>70,F,0
2013,1,0,>70,NA,0
2013,1,0,NA,M,0
2013,1,0,NA,F,0
2013,1,0,NA,NA,0
2013,1,1,10,M,0
2013,1,1,10,F,0
2013,1,1,10,NA,0
2013,1,1,20,M,0
2013,1,1,20,F,0
2013,1,1,20,NA,0
2013,1,1,30,M,0
2013,1,1,30,F,0
2013,1,1,30,NA,0
2013,1,1,40,M,0
2013,1,1,40,F,0
2013,1,1,40,NA,0
2013,1,1,50,M,0
2013,1,1,50,F,0
2013,1,1,50,NA,0
2013,1,1,60,M,0
2013,1,1,60,F,0
2013,1,1,60,NA,0
2013,1,1,70,M,0
2013,1,1,70,F,0
2013,1,1,70,NA,0
2013,1,1,>70,M,0
2013,1,1,>70,F,0
2013,1,1,>70,NA,0
2013,1,1,NA,M,0
2013,1,1,NA,F,0
2013,1,1,NA,NA,0
2013,2,0,10,M,0
2013,2,0,10,F,0
2013,2,0,10,NA,0
2013,2,0,20,M,0
2013,2,0,20,F,0
2013,2,0,20,NA,0
2013,2,0,30,M,0
2013,2,0,30,F,0
2013,2,0,30,NA,0
2013,2,0,40,M,0
2013,2,0,40,F,0
2013,2,0,40,NA,0
2013,2,0,50,M,0
2013,2,0,50,F,0
2013,2,0,50,NA,0
2013,2,0,60,M,0
2013,2,0,60,F,0
2013,2,0,60,NA,0
2013,2,0,70,M,0
