id,name,lat,long,nbBikes,nbEmptyDocks,installed,locked,temporary,public
1,Eads St & 15th St S,38.858971,-77.05323,6,9,true,false,false,true
2,18th & Eads St.,38.85725,-77.05332,5,6,true,false,false,true
3,20th & Crystal Dr,38.856425,-77.049232,10,7,true,false,false,true
4,15th & Crystal Dr,38.86017,-77.049593,4,7,true,false,false,true
5,Aurora Hills Community Ctr/18th & Hayes St,38.857866,-77.05949,8,3,true,false,false,true
6,Pentagon City Metro / 12th & S Hayes St,38.862303,-77.059936,5,14,true,false,false,true
7,S Joyce & Army Navy Dr,38.8637,-77.0633,7,8,true,false,false,true
8,Crystal City Metro / 18th & Bell St,38.85740496261504,-77.05113172531128,12,7,true,false,false,true
9,12th & Army Navy Dr,38.8629,-77.0528,5,6,true,false,false,true
10,27th & Crystal Dr,38.848441,-77.051516,9,10,true,false,false,true
11,S Glebe & Potomac Ave,38.8426,-77.0502,6,5,true,false,false,true
12,23rd & Crystal Dr,38.8533,-77.0498,8,9,true,false,false,true
13,26th & S Clark St,38.850688,-77.05152,5,6,true,false,false,true
14,19th St & Pennsylvania Ave NW,38.9003,-77.0429,6,9,true,false,false,true
15,14th & V St NW,38.9176,-77.0321,15,12,true,false,false,true
16,11th & Kenyon St NW,38.929464,-77.027822,12,15,true,false,false,true
17,16th & Harvard St NW,38.926088,-77.036536,16,17,true,false,false,true
18,Adams Mill & Columbia Rd NW,38.922925,-77.042581,9,3,true,false,false,true
19,14th & Harvard St NW,38.9268,-77.0322,13,6,true,false,false,true
20,Calvert & Biltmore St NW,38.923203,-77.047637,7,16,true,false,false,true
21,Lamont & Mt Pleasant NW,38.9319,-77.0388,11,8,true,false,false,true
22,4th & M St SW,38.8767,-77.0178,7,15,true,false,false,true
23,15th & P St NW,38.90985,-77.034438,10,7,true,false,false,true
24,14th & R St NW,38.912682,-77.031681,7,7,true,false,false,true
25,14th & Rhode Island Ave NW,38.9086,-77.0323,6,16,true,false,false,true
26,20th & E St NW,38.8963,-77.045,5,9,true,false,false,true
27,21st & I St NW,38.9008,-77.047,8,26,true,false,false,true
28,Georgia & New Hampshire Ave NW,38.936043,-77.024649,9,5,true,false,false,true
29,14th St & Spring Rd NW,38.9375,-77.0328,3,7,true,false,false,true
30,John McCormack Dr & Michigan Ave NE,38.9346,-76.9955,8,3,true,false,false,true
31,5th & K St NW,38.90304,-77.019027,6,13,true,false,false,true
32,19th & East Capitol St SE,38.8896,-76.9769,8,7,true,false,false,true
33,Park Rd & Holmead Pl NW,38.9308,-77.0315,10,9,true,false,false,true
34,Good Hope & Naylor Rd SE,38.8601,-76.9672,3,8,true,false,false,true
35,Connecticut Ave & Newark St NW / Cleveland Park,38.934267,-77.057979,4,6,true,false,false,true
36,Randle Circle & Minnesota Ave SE,38.878,-76.9607,5,6,true,false,false,true
37,Minnesota Ave Metro/DOES,38.897063,-76.947446,5,10,true,false,false,true
38,Nannie Helen Burroughs & Minnesota Ave NE,38.901385,-76.941877,6,5,true,false,false,true
39,Anacostia Metro,38.862669,-76.994637,3,8,true,false,false,true
40,Good Hope Rd & MLK Ave SE,38.867373,-76.988039,6,5,true,false,false,true
41,19th & E Street NW,38.8952,-77.0436,5,6,true,false,false,true
42,4th & W St NE,38.919077,-77.000648,11,3,true,false,false,true
43,10th & U St NW,38.9172,-77.0259,6,9,true,false,false,true
44,Georgia Ave and Fairmont St NW,38.9249,-77.0222,3,8,true,false,false,true
45,1st & N St  SE,38.8743,-77.0057,4,35,true,false,false,true
46,20th St & Florida Ave NW,38.9154,-77.0446,11,4,true,false,false,true
47,7th & T St NW,38.9155,-77.0222,9,6,true,false,false,true
48,23rd & Eads St,38.853531,-77.053509,9,6,true,false,false,true
49,M St & New Jersey Ave SE,38.8763,-77.0037,8,8,true,false,false,true
51,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,21,22,true,false,false,true
52,1st & M St NE,38.9057,-77.0056,9,6,true,false,false,true
53,21st & M St NW,38.90534,-77.046774,5,13,true,false,false,true
54,17th & K St NW,38.90276,-77.03863,11,11,true,false,false,true
55,3rd & H St NW,38.899408,-77.015289,6,9,true,false,false,true
56,3rd & D St SE,38.8851,-77.0023,9,2,true,false,false,true
57,Potomac & Pennsylvania Ave SE,38.8803,-76.9862,5,9,true,false,false,true
58,14th & D St SE,38.884,-76.9861,7,8,true,false,false,true
